Pd%,Sn%,Mo%,W%,Desired_Product,undesired_Product,Carbon_in_Solid,FOM#3
0.5,0.5,1,20,0.0365134573333,0.0280233133333,0.60678747,0.736666666667
0.5,0.5,1,25,0.036375755,0.023180678,0.587345056,0.785
0.1,0.25,1,25,0.035884288,0.0234025135,0.525628856,0.775
0.1,0.25,1,20,0.0370089963333,0.027482214,0.636355145,0.743333333333
0.1,0.1,2,3,0.0517475455,0.0109152875,0.032271214,168.54
0.1,0.1,2,15.5,0.0707367756667,0.0237004703333,0.090467502,31.54
0,0,2,12.5,0.038979879,0.0555521553333,0.713095238,0.24
1,0.25,2,25,0.0875788013333,0.0235922986667,0.005080957,1229.49666667
1,0.25,2,20,0.079595658,0.02104647675,0.005756908,1505.5525
0.5,0.25,1,15.5,0.091728649,0.0175714986667,0.02041328,271.24
0.5,0.5,5,25,0.0510424893333,0.025720929,0.445613529,3.51666666667
1,0.5,1,20,0.0883006465,0.0124849125,0.019966276,185.42
1,0.5,1,25,0.0943132975,0.011687553,0.005666237,1081.05
0.5,0.5,5,20,0.0403546786667,0.013381619,0.386805885,4.44666666667
1,0.25,2,12.5,0.061273409,0.015283051,0.007341905,1283.93666667
1,0.5,2,25,0.093390731,0.011971117,0.00382341,1782.23
1,0.5,2,20,0.092499515,0.014079585,0.018992937,332.2
0.1,0.5,5,3,0.0592612245,0.1093408155,0.57299964,0.43
0.1,0.5,5,15.5,0.0279380076667,0.0521837556667,0.50380267,0.393333333333
0.1,0.5,5,25,0.0312142433333,0.0344487056667,0.731478812,0.463333333333
1,0.25,0,25,0.085169954,0.013340011,0.012613333,364.75
0.5,0.1,1,15.5,0.0830790433333,0.0153273996667,0.010238787,1129.32333333
0.1,0.25,5,3,0.074374888,0.0200743483333,0.066453055,45.7433333333
1,0,0,12.5,0.0514035416667,0.012174616,0.012021429,344.22
0.5,0.25,2,3,0.112297741333,0.0184124543333,0.0105723295,840.821666667
0.1,0.5,1,25,0.036504063,0.040482298,0.689368771,0.32
0.5,0.25,2,20,0.081125861,0.0130127845,0.032779158,151.34
0.5,0.25,2,25,0.0917786995,0.0169149315,0.026006918,152.75
0.1,0.5,1,20,0.0308976493333,0.0468956076667,0.74844706,0.256666666667
0.5,0.5,2,15.5,0.0407064186667,0.0376777153333,0.375051306,1.23333333333
1,0.25,1,3,0.0635735273333,0.021292141,0.013782169,639.683333333
0.1,0.25,1,3,0.044208121,0.0216668035,0.071336139,31.975
1,0.5,5,25,0.1133987755,0.017403513,0.007203272,1146.725
1,0.5,5,20,0.106246808,0.013598596,0.007464975,900.32
0,0.25,2,25,0.0409927443333,0.101635261333,0.735714286,0.156666666667
1,0,0,25,0.0671290365,0.012687977,0.005220476,1457.485
0.1,0.25,1,15.5,0.033513125,0.0421321143333,0.459577468,0.746666666667
0.1,0.1,1,3,0.0514761945,0.0108368115,0.051488127,91.6
1,0.1,2,3,0.071115251,0.035012405,0.011820147,569.29
1,0.5,5,15.5,0.106825534333,0.0193712963333,0.00633409,1220.26
0.5,0.1,5,15.5,0.103740596667,0.0229944363333,0.00537024816667,1448.495
0.5,0.1,5,20,0.1090864042,0.0219061466,0.0053870802,1525.966
