X1,X2,X3,X4,Y
7.842146701454827395e-01,3.625744418118079238e-01,6.186740386334262931e-01,5.712907845505781346e-01,3.671549724535233139e+01
8.344768855496317306e-01,3.109391041489161789e-01,7.154249401192842583e-01,5.386530386449087660e-01,2.251193555451204418e+02
8.187350279922029905e-01,5.200377401536830924e-01,6.484652291460361040e-01,6.796994575651565951e-01,1.137651150933286281e+01
7.923049697554029880e-01,4.722307653692854879e-01,7.599532533096187148e-01,7.230937237099760440e-01,1.761764389325294644e+02
8.637447022625086568e-01,4.930479128284225854e-01,5.934735725302346943e-01,6.757162299702736963e-01,8.707309526505206065e+00
8.613391042065060565e-01,4.242784279977374062e-01,7.177785053548370042e-01,5.366267228461381045e-01,3.061691657315252257e+01
8.770854072791659517e-01,5.051475256432720329e-01,5.707517441409077907e-01,5.159178849632218844e-01,1.339965153714236301e+00
8.097459322157690709e-01,2.810199868270621404e-01,6.744351547138898173e-01,6.032909829304351490e-01,3.739629583864892197e+02
7.975784243583584621e-01,2.583552825590963997e-01,5.291459983795016031e-01,5.423855973113496098e-01,5.344266269167646044e+01
8.080371906569771001e-01,4.027907053234288104e-01,5.164276383790142866e-01,5.817397195261896359e-01,6.372887549180723532e+00
7.654103044356818097e-01,7.131805458167746192e-02,9.436323041862380023e-01,9.587133767558846387e-01,5.370182599530552514e+06
8.481898493724481236e-01,4.268603696480927079e-01,7.118002251986694784e-01,6.499452439912284385e-01,8.394860808792982709e+01
8.379128324689502083e-01,3.699788251032559150e-01,6.703022715763317096e-01,6.022466231994025865e-01,8.063186191063741148e+01
8.186088580690120686e-01,3.529823936615057445e-01,6.976713012907939104e-01,7.682857346151494848e-01,7.734963722247665601e+02
8.568615701615406310e-01,5.066667962156027327e-01,6.878393149284636188e-01,6.703909136444402561e-01,2.059120881209583942e+01
8.746814627384625895e-01,2.599187966510716485e-01,5.210581757296236516e-01,6.418465269280569929e-01,8.467062675206796030e+01
8.705371308689822119e-01,4.823210272252725916e-01,5.068550294898289676e-01,5.148046873936897860e-01,1.198825254646881167e+00
8.027148264942487454e-01,5.319015522673726792e-01,5.215676330149310314e-01,5.682399171487521050e-01,1.040059976684125864e+00
8.313616621316057831e-01,2.710919140562361718e-01,7.995912547475338972e-01,6.198889758404847461e-01,2.288761670584989133e+03
